,date,num,start,end
317,2022-09-20 00:00:00,2,12:20:00,13:10:00
318,2022-09-21 00:00:00,1,10:30:00,12:35:00
319,2022-09-21 00:00:00,2,13:20:00,14:00:00
320,2022-09-22 00:00:00,1,11:00:00,11:20:00
321,2022-09-22 00:00:00,2,12:15:00,12:35:00
322,2022-09-23 00:00:00,1,10:00:00,10:30:00
323,2022-09-23 00:00:00,2,11:10:00,12:20:00
324,2022-09-26 00:00:00,1,12:15:00,13:00:00
325,2022-09-27 00:00:00,1,11:10:00,11:35:00
326,2022-09-27 00:00:00,2,12:00:00,13:10:00
327,2022-09-28 00:00:00,1,10:35:00,11:15:00
328,2022-09-28 00:00:00,2,11:50:00,13:20:00
329,2022-09-29 00:00:00,1,10:45:00,11:10:00
330,2022-09-29 00:00:00,2,11:20:00,11:50:00
331,2022-09-30 00:00:00,1,09:50:00,10:45:00
332,2022-10-04 00:00:00,1,10:00:00,11:10:00
333,2022-10-04 00:00:00,2,12:35:00,13:30:00
334,2022-10-05 00:00:00,1,10:15:00,10:45:00
335,2022-10-05 00:00:00,2,11:15:00,11:55:00
336,2022-10-06 00:00:00,1,11:35:00,13:10:00
337,2022-10-07 00:00:00,1,09:05:00,12:15:00
338,2022-10-12 00:00:00,1,11:45:00,12:50:00
339,2022-10-13 00:00:00,1,10:05:00,11:00:00
340,2022-10-13 00:00:00,2,11:55:00,12:30:00
341,2022-10-14 00:00:00,1,11:20:00,11:45:00
342,2022-10-14 00:00:00,2,12:15:00,12:25:00
343,2022-10-17 00:00:00,1,10:30:00,10:55:00
344,2022-10-18 00:00:00,1,10:10:00,12:30:00
345,2022-10-19 00:00:00,1,10:20:00,13:05:00
346,2022-10-20 00:00:00,1,11:05:00,11:45:00
347,2022-10-24 00:00:00,1,11:25:00,12:05:00
348,2022-10-25 00:00:00,1,11:05:00,11:40:00
349,2022-10-27 00:00:00,1,10:50:00,12:35:00
350,2022-10-28 00:00:00,1,12:00:00,13:15:00
351,2022-10-31 00:00:00,1,12:55:00,13:20:00
352,2022-11-02 00:00:00,1,08:30:00,13:35:00
353,2022-11-03 00:00:00,1,10:15:00,11:15:00
354,2022-11-03 00:00:00,2,12:30:00,13:00:00
355,2022-11-04 00:00:00,1,11:05:00,11:35:00
356,2022-11-04 00:00:00,2,13:15:00,13:30:00
357,2022-11-07 00:00:00,1,10:10:00,10:15:00
358,2022-11-09 00:00:00,1,12:30:00,13:05:00
359,2022-11-10 00:00:00,1,12:00:00,12:30:00
360,2022-11-11 00:00:00,1,11:35:00,12:30:00
361,2022-11-14 00:00:00,1,12:05:00,13:00:00
362,2022-11-15 00:00:00,1,10:00:00,10:30:00
363,2022-11-15 00:00:00,2,11:05:00,12:35:00
364,2022-11-16 00:00:00,1,11:05:00,11:45:00
365,2022-11-16 00:00:00,2,12:15:00,13:30:00
366,2022-11-17 00:00:00,1,10:55:00,12:00:00
367,2022-11-18 00:00:00,1,10:00:00,10:20:00
368,2022-11-18 00:00:00,2,11:10:00,11:40:00
369,2022-11-21 00:00:00,1,10:10:00,12:05:00
370,2022-11-22 00:00:00,1,10:30:00,11:30:00
371,2022-11-22 00:00:00,2,11:55:00,12:45:00
372,2022-11-23 00:00:00,1,10:10:00,11:40:00
373,2022-11-23 00:00:00,2,12:15:00,13:30:00
374,2022-11-28 00:00:00,1,11:20:00,11:35:00
375,2022-11-29 00:00:00,1,10:30:00,11:05:00
376,2022-11-29 00:00:00,2,11:50:00,12:10:00
377,2022-11-30 00:00:00,1,10:10:00,10:40:00
378,2022-11-30 00:00:00,2,11:15:00,11:30:00
379,2022-12-01 00:00:00,1,11:00:00,12:25:00
380,2022-12-02 00:00:00,1,10:25:00,11:05:00
381,2022-12-06 00:00:00,1,11:00:00,11:05:00
382,2022-12-06 00:00:00,2,12:35:00,12:50:00
383,2022-12-07 00:00:00,1,12:00:00,12:40:00
384,2022-12-12 00:00:00,1,11:45:00,12:00:00
385,2022-12-13 00:00:00,1,10:00:00,11:10:00
386,2022-12-13 00:00:00,2,12:00:00,12:25:00
387,2022-12-14 00:00:00,1,10:00:00,12:50:00
388,2022-12-15 00:00:00,1,10:40:00,12:05:00
389,2022-12-16 00:00:00,1,12:00:00,12:30:00
390,2022-12-20 00:00:00,1,11:25:00,13:00:00
391,2022-12-22 00:00:00,1,10:00:00,10:30:00
392,2022-12-22 00:00:00,2,13:00:00,13:30:00
393,2022-12-23 00:00:00,1,08:30:00,13:30:00
394,2022-12-27 00:00:00,1,10:00:00,10:35:00
395,2022-12-27 00:00:00,2,11:45:00,12:00:00
396,2022-12-28 00:00:00,1,10:15:00,10:40:00
397,2022-12-28 00:00:00,2,11:05:00,12:15:00
398,2022-12-28 00:00:00,3,12:45:00,13:25:00
399,2022-12-29 00:00:00,1,10:30:00,11:05:00
400,2022-12-29 00:00:00,2,11:45:00,13:15:00
401,2022-12-30 00:00:00,1,10:10:00,13:15:00
402,2023-01-03 00:00:00,1,11:00:00,11:35:00
403,2023-01-03 00:00:00,2,11:50:00,12:40:00
404,2023-01-04 00:00:00,1,10:25:00,12:10:00
405,2023-01-05 00:00:00,1,11:45:00,12:40:00
406,2023-01-09 00:00:00,1,10:35:00,10:50:00
407,2023-01-09 00:00:00,2,11:50:00,12:15:00
408,2023-01-10 00:00:00,1,10:00:00,11:05:00
409,2023-01-10 00:00:00,2,11:25:00,13:05:00
410,2023-01-11 00:00:00,1,12:20:00,13:05:00
411,2023-01-13 00:00:00,1,10:45:00,11:00:00
412,2023-01-13 00:00:00,2,11:45:00,12:05:00
413,2023-01-13 00:00:00,3,12:15:00,12:45:00
414,2023-01-17 00:00:00,1,12:45:00,13:30:00
415,2023-01-18 00:00:00,1,10:00:00,10:20:00
416,2023-01-18 00:00:00,2,12:20:00,12:50:00
417,2023-01-19 00:00:00,1,10:30:00,11:35:00
418,2023-01-19 00:00:00,2,12:15:00,12:40:00
419,2023-01-20 00:00:00,1,10:00:00,11:30:00
420,2023-01-23 00:00:00,1,11:45:00,13:00:00
421,2023-01-24 00:00:00,1,11:00:00,11:35:00
422,2023-01-24 00:00:00,2,12:07:00,12:40:00
423,2023-01-24 00:00:00,3,13:05:00,13:30:00
424,2023-01-25 00:00:00,1,10:20:00,10:35:00
425,2023-01-25 00:00:00,2,11:30:00,11:45:00
426,2023-01-25 00:00:00,3,12:15:00,12:35:00
427,2023-01-26 00:00:00,1,11:45:00,12:00:00
428,2023-01-26 00:00:00,2,13:00:00,13:25:00
429,2023-01-27 00:00:00,1,10:30:00,10:45:00
430,2023-01-27 00:00:00,2,11:45:00,12:15:00
431,2023-01-30 00:00:00,1,10:55:00,11:05:00
432,2023-01-31 00:00:00,1,10:50:00,12:00:00
433,2023-01-31 00:00:00,2,13:10:00,13:30:00
434,2023-02-01 00:00:00,1,11:15:00,11:30:00
435,2023-02-01 00:00:00,2,11:50:00,12:30:00
436,2023-02-03 00:00:00,1,11:30:00,11:50:00
437,2023-02-06 00:00:00,1,10:00:00,13:30:00
438,2023-02-07 00:00:00,1,10:00:00,10:35:00
